model_name,prompt_varient,prompt_num,8val_dipl,8val_econ,8val_govt,8val_scty,pct_econ,pct_soc,sap_auth,sap_prog,sap_right
DeepSeek v3.2,v1,1,64.4,75.6,63.7,70.7,-5.87,-5.49,1.0,5.0,-4.33
GPT-4o Mini,v1,1,60.6,73.1,53.1,65.2,-4.62,-3.49,0.0,4.69,-3.33
Gemini 2.5 Flash,v1,1,56.7,73.1,60.9,67.3,-5.87,-6.62,-6.22,3.39,-5.74
Grok 4.1 Fast,v1,1,53.3,42.3,65.2,68.6,3.01,-5.59,-1.0,5.94,3.33
Llama 4 Maverick,v1,1,56.7,72.4,48.8,58.8,-4.24,-3.38,1.0,2.19,-2.0
Mistral Large 2512,v1,1,67.2,81.4,58.6,69.0,-5.74,-6.15,2.33,6.88,-3.33
Qwen 3.5 Flash,v1,1,59.4,57.1,53.9,59.4,-3.24,-4.21,0.67,2.5,0.0
DeepSeek v3.2,v2,2,63.9,78.2,59.0,70.3,-5.87,-5.59,1.33,5.0,-4.67
GPT-4o Mini,v2,2,61.7,78.2,53.5,66.4,-4.99,-3.64,0.0,5.0,-3.0
Gemini 2.5 Flash,v2,2,67.2,78.2,66.0,72.0,-5.87,-6.0,-0.33,5.31,-1.67
Grok 4.1 Fast,v2,2,49.4,41.7,65.6,70.5,0.88,-6.26,-0.67,6.25,3.67
Llama 4 Maverick,v2,2,59.4,68.6,55.1,57.1,-4.49,-3.33,0.67,1.88,-2.33
Mistral Large 2512,v2,2,61.7,80.1,57.8,67.7,-5.49,-6.05,1.67,7.5,-3.33
Qwen 3.5 Flash,v2,2,60.0,58.3,54.7,60.3,-4.24,-4.31,0.33,2.5,-0.33
DeepSeek v3.2,v3,3,65.6,72.4,62.9,69.9,-5.62,-5.28,1.67,4.38,-4.0
GPT-4o Mini,v3,3,60.6,73.1,53.9,66.9,-4.62,-3.49,0.0,5.0,-3.0
Gemini 2.5 Flash,v3,3,65.6,75.6,64.5,67.3,-6.62,-6.05,1.33,5.63,-2.0
Grok 4.1 Fast,v3,3,43.9,39.7,63.7,68.8,3.51,-5.59,-2.0,4.69,3.33
Llama 4 Maverick,v3,3,59.4,69.9,52.0,60.5,-3.74,-3.38,1.0,1.25,-2.0
Mistral Large 2512,v3,3,61.7,82.7,59.0,69.0,-5.74,-6.36,1.67,7.5,-3.0
Qwen 3.5 Flash,v3,3,61.7,57.1,54.3,59.4,-3.99,-4.97,-0.33,2.19,-0.33
DeepSeek v3.2,v4,4,63.3,76.9,62.9,69.4,-5.62,-4.62,1.33,5.0,-4.67
GPT-4o Mini,v4,4,62.8,73.1,54.3,67.7,-4.99,-3.44,0.0,5.0,-2.67
Gemini 2.5 Flash,v4,4,67.2,75.6,64.1,70.3,-6.12,-6.41,0.33,6.25,-3.0
Grok 4.1 Fast,v4,4,45.0,38.5,61.3,66.4,2.38,-5.9,-0.33,6.25,3.0
Llama 4 Maverick,v4,4,55.0,68.6,50.0,55.4,-3.49,-3.44,0.33,2.19,-2.33
Mistral Large 2512,v4,4,63.3,81.4,57.8,68.2,-5.74,-6.0,2.0,6.88,-3.33
Qwen 3.5 Flash,v4,4,58.9,55.8,54.7,59.4,-2.62,-4.21,0.33,2.19,-0.33
DeepSeek v3.2,v5,5,63.3,75.6,60.5,68.6,-5.62,-5.18,1.67,4.06,-4.67
GPT-4o Mini,v5,5,62.8,74.4,52.7,66.9,-4.99,-3.18,0.0,5.0,-3.67
Gemini 2.5 Flash,v5,5,60.6,78.2,58.6,66.4,-5.74,-6.51,1.0,7.19,-3.0
Grok 4.1 Fast,v5,5,45.6,41.0,64.1,67.3,3.13,-5.59,-1.0,6.25,2.33
Llama 4 Maverick,v5,5,58.3,70.5,54.7,59.7,-4.12,-3.18,1.0,1.56,-2.33
Mistral Large 2512,v5,5,62.8,81.4,57.4,68.2,-6.24,-5.9,2.0,6.88,-2.33
Qwen 3.5 Flash,v5,5,60.0,57.1,53.5,57.3,-3.24,-4.0,0.0,2.5,-0.67
DeepSeek v3.2,v6,6,58.3,73.7,62.1,71.1,-4.74,-5.54,0.67,5.94,-4.33
GPT-4o Mini,v6,6,61.7,73.1,53.5,66.0,-4.74,-3.49,0.0,4.69,-3.0
Gemini 2.5 Flash,v6,6,59.4,71.2,59.0,65.4,-6.74,-6.05,0.67,5.0,-2.33
Grok 4.1 Fast,v6,6,47.2,40.4,64.1,66.6,2.88,-5.18,-1.0,5.31,3.33
Llama 4 Maverick,v6,6,61.7,68.6,55.1,57.1,-3.49,-3.23,1.0,1.56,-2.0
Mistral Large 2512,v6,6,62.2,82.7,57.0,69.0,-5.74,-6.41,2.0,7.5,-3.0
Qwen 3.5 Flash,v6,6,58.9,55.8,53.9,59.4,-3.37,-4.41,0.0,2.5,-0.33
DeepSeek v3.2,v7,7,63.3,76.9,61.3,70.3,-5.62,-5.23,1.0,4.38,-3.67
GPT-4o Mini,v7,7,61.7,73.1,53.5,66.0,-4.99,-3.64,0.0,4.38,-2.33
Gemini 2.5 Flash,v7,7,66.7,76.9,57.8,69.9,-5.74,-6.41,2.0,5.0,-2.33
Grok 4.1 Fast,v7,7,49.4,37.2,62.1,66.2,4.13,-5.8,-1.33,6.25,4.0
Llama 4 Maverick,v7,7,55.6,72.4,50.8,58.8,-4.49,-3.69,1.0,3.13,-2.33
Mistral Large 2512,v7,7,66.7,81.4,58.6,68.2,-5.74,-6.0,2.33,7.5,-3.0
Qwen 3.5 Flash,v7,7,60.0,59.6,54.7,58.6,-4.62,-4.62,0.33,2.81,-0.67
DeepSeek v3.2,v8,8,61.7,70.5,61.3,68.6,-5.87,-4.56,1.33,3.75,-4.67
GPT-4o Mini,v8,8,61.7,71.8,52.7,65.6,-4.99,-3.59,0.0,5.0,-3.0
