method_1,method_2,test_1,axis_1,test_2,axis_2,trait_1,trait_2,relation_type,pearson_r,p_value,p_value_fdr_bh,significant_fdr_bh
8val_dipl,8val_econ,8val,dipl,8val,econ,diplomatic,economic,heterotrait_monomethod,0.8374615059993655,1.638522055264678e-19,1.179735879790568e-18,True
8val_dipl,8val_govt,8val,dipl,8val,govt,diplomatic,authority_proxy,heterotrait_monomethod,-0.1645885418604186,0.17333750082912347,0.2496060011939378,False
8val_dipl,8val_scty,8val,dipl,8val,scty,diplomatic,progressive_proxy,heterotrait_monomethod,0.2003774441550025,0.09627104209855639,0.1650360721689538,False
8val_dipl,pct_econ,8val,dipl,pct,econ,diplomatic,economic,heterotrait_heteromethod,-0.8872534248357609,1.5279933236277196e-24,1.3751939912649478e-23,True
8val_dipl,pct_soc,8val,dipl,pct,soc,diplomatic,authority_proxy,heterotrait_heteromethod,-0.042287216205267104,0.7281516024652459,0.873781922958295,False
8val_dipl,sap_auth,8val,dipl,sap,auth,diplomatic,authority_proxy,heterotrait_heteromethod,0.5612818934404319,4.315022499593579e-07,1.2945067498780738e-06,True
8val_dipl,sap_prog,8val,dipl,sap,prog,diplomatic,progressive_proxy,heterotrait_heteromethod,0.07867835608088236,0.5173585325205357,0.6422381783013545,False
8val_dipl,sap_right,8val,dipl,sap,right,diplomatic,economic_inverse,heterotrait_heteromethod,-0.797546504633694,1.4224435590961406e-16,8.534661354576844e-16,True
8val_econ,8val_govt,8val,econ,8val,govt,economic,authority_proxy,heterotrait_monomethod,-0.24216279197330096,0.043407353177417396,0.07891742501868418,False
8val_econ,8val_scty,8val,econ,8val,scty,economic,progressive_proxy,heterotrait_monomethod,0.2416765400126939,0.04384301389926899,0.07891742501868418,False
8val_econ,pct_econ,8val,econ,pct,econ,economic,economic,monotrait_heteromethod,-0.9207746404051111,1.6535235397088003e-29,5.952684742951681e-28,True
8val_econ,pct_soc,8val,econ,pct,soc,economic,authority_proxy,heterotrait_heteromethod,-0.032465829714073295,0.789616931202264,0.888319047602547,False
8val_econ,sap_auth,8val,econ,sap,auth,economic,authority_proxy,heterotrait_heteromethod,0.5532947290930325,6.782371040317801e-07,1.7440382675102916e-06,True
8val_econ,sap_prog,8val,econ,sap,prog,economic,progressive_proxy,heterotrait_heteromethod,0.18180920927621272,0.1319848046567599,0.2065849116366677,False
8val_econ,sap_right,8val,econ,sap,right,economic,economic_inverse,heterotrait_heteromethod,-0.9175218373821816,6.151918318815793e-29,1.1073452973868428e-27,True
8val_govt,8val_scty,8val,govt,8val,scty,authority_proxy,progressive_proxy,heterotrait_monomethod,0.7282404968454159,9.06362150291232e-13,3.625448601164928e-12,True
8val_govt,pct_econ,8val,govt,pct,econ,authority_proxy,economic,heterotrait_heteromethod,0.2898138674697004,0.014950633579877163,0.03166016522797517,True
8val_govt,pct_soc,8val,govt,pct,soc,authority_proxy,authority_proxy,monotrait_heteromethod,-0.7411057231819509,2.2053226399684326e-13,9.923951879857947e-13,True
8val_govt,sap_auth,8val,govt,sap,auth,authority_proxy,authority_proxy,monotrait_heteromethod,-0.19007423473843815,0.11501514530350823,0.18820660140574072,False
8val_govt,sap_prog,8val,govt,sap,prog,authority_proxy,progressive_proxy,heterotrait_heteromethod,0.5596633164130211,4.733671109115185e-07,1.3108627686780512e-06,True
8val_govt,sap_right,8val,govt,sap,right,authority_proxy,economic_inverse,heterotrait_heteromethod,0.2591541376782191,0.030283970007254097,0.060567940014508194,False
8val_scty,pct_econ,8val,scty,pct,econ,progressive_proxy,economic,heterotrait_heteromethod,-0.08128198817459427,0.5035483086989073,0.6422381783013545,False
8val_scty,pct_soc,8val,scty,pct,soc,progressive_proxy,authority_proxy,heterotrait_heteromethod,-0.6436487709820939,1.855361901236865e-09,6.072093494957012e-09,True
8val_scty,sap_auth,8val,scty,sap,auth,progressive_proxy,authority_proxy,heterotrait_heteromethod,0.036739300868435625,0.7626899086035535,0.8857044099912234,False
8val_scty,sap_prog,8val,scty,sap,prog,progressive_proxy,progressive_proxy,monotrait_heteromethod,0.7872705955397057,6.380327189053501e-16,3.2813111257989436e-15,True
8val_scty,sap_right,8val,scty,sap,right,progressive_proxy,economic_inverse,heterotrait_heteromethod,-0.17061907890503988,0.15789789397173778,0.2368468409576067,False
pct_econ,pct_soc,pct,econ,pct,soc,economic,authority_proxy,heterotrait_monomethod,-0.0021650122865620237,0.9858082524205992,0.9858082524205992,False
pct_econ,sap_auth,pct,econ,sap,auth,economic,authority_proxy,heterotrait_heteromethod,-0.5124987801336861,5.74408800008155e-06,1.378581120019572e-05,True
pct_econ,sap_prog,pct,econ,sap,prog,economic,progressive_proxy,heterotrait_heteromethod,0.021862060449573586,0.8574358967513463,0.907873302442602,False
pct_econ,sap_right,pct,econ,sap,right,economic,economic_inverse,heterotrait_heteromethod,0.906265212030885,3.947790644389855e-27,4.737348773267826e-26,True
pct_soc,sap_auth,pct,soc,sap,auth,authority_proxy,authority_proxy,monotrait_heteromethod,-0.027019927840774907,0.8242866459694853,0.8992217956030749,False
pct_soc,sap_prog,pct,soc,sap,prog,authority_proxy,progressive_proxy,heterotrait_heteromethod,-0.7189448948347741,2.396556180132187e-12,8.627602248475873e-12,True
pct_soc,sap_right,pct,soc,sap,right,authority_proxy,economic_inverse,heterotrait_heteromethod,-0.08124818691126673,0.5037263702107571,0.6422381783013545,False
