method_1,method_2,trait_1,trait_2,family_1,family_2,relation_type,pearson_r,p_value,p_value_fdr_bh,significant_fdr_bh
economic_left_pct,economic_left_8val,economic,economic,pct,8val,monotrait_heteromethod,0.9207746404051114,1.6535235397086486e-29,4.629865911184216e-28,True
economic_left_pct,economic_left_sap,economic,economic,pct,sap,monotrait_heteromethod,0.906265212030885,3.947790644389855e-27,3.6846046014305314e-26,True
economic_left_pct,authority_pct,economic,authority,pct,pct,heterotrait_monomethod,-0.0021650122865620428,0.9858082524205992,0.9858082524205992,False
economic_left_pct,authority_8val,economic,authority,pct,8val,heterotrait_heteromethod,-0.28981386746970045,0.014950633579877163,0.03220136463358158,True
economic_left_pct,authority_sap,economic,authority,pct,sap,heterotrait_heteromethod,0.5124987801336862,5.744088000081487e-06,1.4621314909298332e-05,True
economic_left_pct,progressive_8val,economic,progressive,pct,8val,heterotrait_heteromethod,0.08128198817459431,0.5035483086989073,0.6411062893591438,False
economic_left_pct,progressive_sap,economic,progressive,pct,sap,heterotrait_heteromethod,-0.02186206044957361,0.8574358967513463,0.9233925041937576,False
economic_left_8val,economic_left_sap,economic,economic,8val,sap,monotrait_heteromethod,0.9175218373821821,6.151918318814712e-29,8.612685646340597e-28,True
economic_left_8val,authority_pct,economic,authority,8val,pct,heterotrait_heteromethod,0.032465829714073295,0.789616931202264,0.921219753069308,False
economic_left_8val,authority_8val,economic,authority,8val,8val,heterotrait_monomethod,-0.242162791973301,0.043407353177417396,0.07672527432372074,False
economic_left_8val,authority_sap,economic,authority,8val,sap,heterotrait_heteromethod,0.5532947290930326,6.782371040317716e-07,1.8990638912889606e-06,True
economic_left_8val,progressive_8val,economic,progressive,8val,8val,heterotrait_monomethod,0.24167654001269395,0.04384301389926899,0.07672527432372074,False
economic_left_8val,progressive_sap,economic,progressive,8val,sap,heterotrait_heteromethod,0.18180920927621286,0.13198480465675944,0.2053096961327369,False
economic_left_sap,authority_pct,economic,authority,sap,pct,heterotrait_heteromethod,-0.0812481869112668,0.5037263702107558,0.6411062893591438,False
economic_left_sap,authority_8val,economic,authority,sap,8val,heterotrait_heteromethod,-0.25915413767821915,0.030283970007254097,0.060567940014508194,False
economic_left_sap,authority_sap,economic,authority,sap,sap,heterotrait_monomethod,0.4025154456472032,0.0005515146687844512,0.001286867560497053,True
economic_left_sap,progressive_8val,economic,progressive,sap,8val,heterotrait_heteromethod,0.17061907890503983,0.15789789397173778,0.2326916332215083,False
economic_left_sap,progressive_sap,economic,progressive,sap,sap,heterotrait_monomethod,-0.004949178223689584,0.9675649931369478,0.9858082524205992,False
authority_pct,authority_8val,authority,authority,pct,8val,monotrait_heteromethod,0.7411057231819509,2.2053226399684326e-13,1.2349806783823222e-12,True
authority_pct,authority_sap,authority,authority,pct,sap,monotrait_heteromethod,0.027019927840774918,0.8242866459694853,0.9232010434858235,False
authority_pct,progressive_8val,authority,progressive,pct,8val,heterotrait_heteromethod,0.6436487709820939,1.855361901236865e-09,6.493766654329028e-09,True
authority_pct,progressive_sap,authority,progressive,pct,sap,heterotrait_heteromethod,0.7189448948347739,2.3965561801322416e-12,9.586224720528966e-12,True
authority_8val,authority_sap,authority,authority,8val,sap,monotrait_heteromethod,-0.19007423473843826,0.11501514530350779,0.1894367099116599,False
authority_8val,progressive_8val,authority,progressive,8val,8val,heterotrait_monomethod,0.7282404968454161,9.063621502912105e-13,4.229690034692316e-12,True
authority_8val,progressive_sap,authority,progressive,8val,sap,heterotrait_heteromethod,0.5596633164130211,4.733671109115185e-07,1.4726976783913908e-06,True
authority_sap,progressive_8val,authority,progressive,sap,8val,heterotrait_heteromethod,0.036739300868435625,0.7626899086035535,0.921219753069308,False
authority_sap,progressive_sap,authority,progressive,sap,sap,heterotrait_monomethod,0.1591486994962412,0.18818630535561548,0.26346082749786165,False
progressive_8val,progressive_sap,progressive,progressive,8val,sap,monotrait_heteromethod,0.7872705955397058,6.3803271890533e-16,4.466229032337311e-15,True
